Peptone,Meat,Yeast,Glucose,Fixed,water
25000.0,60000.0,35000.0,150000.0,250000.0,480000.0
25000.0,68000.0,28000.0,150000.0,250000.0,479000.0
25000.0,61000.0,30000.0,150000.0,250000.0,484000.0
25000.0,68000.0,41000.0,150000.0,250000.0,466000.0
