mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.011834442615509033,0.0008552894663120652,0.0015310049057006836,9.692213765891148e-05,1.0,1.5,60,1,2,0.01,0.0,1.0,"{'subsample': 1.0, 'reg_lambda': 1.5, 'n_estimators': 60, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 1.0}",-0.058930613994598424,-0.1287976706822713,-0.06843320401509602,-0.09759424400329593,-0.08843893317381542,0.027311250015403122,13
0.011792182922363281,0.001620109796097944,0.0029877424240112305,0.002510038266557182,0.9,1.0,40,1,8,0.03,0.0,0.8,"{'subsample': 0.9, 'reg_lambda': 1, 'n_estimators': 40, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.8}",-0.07001022338867191,-0.11374277917544046,-0.07504916063944499,-0.09585529836018884,-0.08866436539093656,0.017421159326956166,14
0.027952611446380615,0.004287724238585998,0.0026503801345825195,0.001038013305807974,0.9,1.0,80,2,6,0.1,0.0,0.6,"{'subsample': 0.9, 'reg_lambda': 1, 'n_estimators': 80, 'min_child_weight': 2, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.6}",-0.08995834827423099,-0.08277035800615945,-0.06713388236363728,-0.11498902511596683,-0.08871290343999863,0.017269580915678675,15
0.09351801872253418,0.008361177533646097,0.0028174519538879395,0.0017320703764168652,1.0,1.5,500,1,3,0.01,0.0,0.8,"{'subsample': 1.0, 'reg_lambda': 1.5, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.8}",-0.10120442350705468,-0.09106593362490335,-0.05750733486811319,-0.10906906811396282,-0.08971169002850851,0.019657984867270727,16
0.008156895637512207,0.0003865170538455961,0.0014989376068115234,4.926560969397193e-05,0.6,2.0,40,1,2,0.03,0.0,1.0,"{'subsample': 0.6, 'reg_lambda': 2, 'n_estimators': 40, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 1.0}",-0.07081234725316365,-0.13183371273676553,-0.06663199138641357,-0.09421422354380293,-0.09087306873003642,0.02587952883017636,17
0.07157886028289795,0.004603419791584155,0.0016309618949890137,0.00015962042632049363,1.0,2.0,500,2,6,0.1,0.0,0.9,"{'subsample': 1.0, 'reg_lambda': 2, 'n_estimators': 500, 'min_child_weight': 2, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.9}",-0.1051194254557292,-0.08354755274454752,-0.06835265827178955,-0.10715194813410445,-0.09104289615154268,0.01603649978063378,18
0.021364927291870117,0.00475081964652242,0.0022004246711730957,0.0007982891953229661,0.6,1.0,80,1,4,0.01,0.0,0.8,"{'subsample': 0.6, 'reg_lambda': 1, 'n_estimators': 80, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.8}",-0.06548357280095418,-0.13452873675028482,-0.07424020640055339,-0.09566821924845381,-0.09248018380006155,0.02664469063528243,19
0.11831343173980713,0.015319944671957682,0.0032891035079956055,0.0009681479757717,0.9,1.5,500,1,2,0.3,0.0,1.0,"{'subsample': 0.9, 'reg_lambda': 1.5, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.3, 'gamma': 0, 'colsample_bytree': 1.0}",-0.11177902690569559,-0.09364728991190595,-0.06852805074055991,-0.09678700455029805,-0.09268534302711487,0.015539405584940675,20
0.09387338161468506,0.0233593981571321,0.002805948257446289,0.001120171362842293,1.0,1.0,300,1,4,0.03,0.0,1.0,"{'subsample': 1.0, 'reg_lambda': 1, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 1.0}",-0.09625650286674503,-0.10909869305292764,-0.07831421939531963,-0.08943485109011333,-0.09327606660127641,0.011156279807563658,21
0.051947593688964844,0.0013092181703192557,0.007301688194274902,0.00264000685129004,1.0,2.0,80,2,8,0.03,0.0,0.6,"{'subsample': 1.0, 'reg_lambda': 2, 'n_estimators': 80, 'min_child_weight': 2, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6}",-0.08137043158213302,-0.11693761793772378,-0.07350514205296833,-0.10433356237411502,-0.09403668848673503,0.01741017406939882,22
0.004407823085784912,0.00010959248821274213,0.0014976263046264648,0.00011575872676016951,0.6,1.0,10,2,4,0.3,0.4,0.9,"{'subsample': 0.6, 'reg_lambda': 1, 'n_estimators': 10, 'min_child_weight': 2, 'max_depth': 4, 'learning_rate': 0.3, 'gamma': 0.4, 'colsample_bytree': 0.9}",-0.064046107451121,-0.15236238686243692,-0.07927252721786499,-0.08161361185709637,-0.09432365834712982,0.03418079111863512,23
0.004198253154754639,9.018076387371871e-05,0.0013939142227172852,6.695880845775324e-05,0.6,2.0,10,1,8,0.3,0.6,0.9,"{'subsample': 0.6, 'reg_lambda': 2, 'n_estimators': 10, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.3, 'gamma': 0.6, 'colsample_bytree': 0.9}",-0.06344565025965372,-0.15220228878657022,-0.08010287952423095,-0.08263481823603314,-0.094596409201622,0.03406592581434432,24
0.04036295413970947,0.0011591240529718646,0.0014754533767700195,5.8345975693194e-05,0.9,1.0,300,1,6,0.3,0.0,0.6,"{'subsample': 0.9, 'reg_lambda': 1, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.3, 'gamma': 0, 'colsample_bytree': 0.6}",-0.10642908310890202,-0.06428220733006797,-0.08713948607444764,-0.12252388668060306,-0.09509366579850517,0.021757318603612224,25
0.010136425495147705,0.001119174134009867,0.002811908721923828,0.0008991110605872618,0.6,1.5,10,1,6,0.1,0.0,0.6,"{'subsample': 0.6, 'reg_lambda': 1.5, 'n_estimators': 10, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.6}",-0.07003621101379398,-0.15113280264536538,-0.07373003037770588,-0.08845896689097088,-0.09583950273195903,0.032659072077641085,26
0.017750144004821777,0.007673181488341536,0.0028018951416015625,0.0009412063144386365,1.0,1.5,40,2,6,0.3,0.0,0.6,"{'subsample': 1.0, 'reg_lambda': 1.5, 'n_estimators': 40, 'min_child_weight': 2, 'max_depth': 6, 'learning_rate': 0.3, 'gamma': 0, 'colsample_bytree': 0.6}",-0.09778280353546147,-0.07659041929244993,-0.08709406725565592,-0.12339173030853275,-0.09621475509802502,0.017387842448264062,27
0.013015151023864746,0.003606784864178301,0.001679539680480957,6.402337967420637e-05,0.6,2.0,60,4,2,0.3,0.0,0.9,"{'subsample': 0.6, 'reg_lambda': 2, 'n_estimators': 60, 'min_child_weight': 4, 'max_depth': 2, 'learning_rate': 0.3, 'gamma': 0, 'colsample_bytree': 0.9}",-0.06553558778762818,-0.14503109502792358,-0.07807373873392741,-0.09742780796686812,-0.09651705737908682,0.030226018495326405,28
0.009932518005371094,0.00197722931800917,0.0028658509254455566,0.0008782557724003225,0.6,2.0,10,1,3,0.1,0.1,0.9,"{'subsample': 0.6, 'reg_lambda': 2, 'n_estimators': 10, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.9}",-0.06107743851343791,-0.15186454900105792,-0.08444557460149128,-0.08963235489527388,-0.09675497925281525,0.03358647351112882,29
0.10096120834350586,0.02097305684359021,0.002862691879272461,0.0013296972766087768,0.6,1.5,500,1,3,0.3,0.6,0.6,"{'subsample': 0.6, 'reg_lambda': 1.5, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.3, 'gamma': 0.6, 'colsample_bytree': 0.6}",-0.05550221443176273,-0.14745612986882525,-0.08666964244842529,-0.0983256923357646,-0.09698841977119446,0.0330770330414959,30
0.12502121925354004,0.03212588927600077,0.005850493907928467,0.0014450781118023946,0.6,1.0,500,2,3,0.3,0.6,0.9,"{'subsample': 0.6, 'reg_lambda': 1, 'n_estimators': 500, 'min_child_weight': 2, 'max_depth': 3, 'learning_rate': 0.3, 'gamma': 0.6, 'colsample_bytree': 0.9}",-0.055603164831797315,-0.14756894159317016,-0.0866608805656433,-0.0984254705111186,-0.09706461437543235,0.0330901362666532,31
0.005197882652282715,0.00016578206641014483,0.001455843448638916,5.771265707182508e-05,0.8,2.0,20,1,6,0.3,0.1,0.6,"{'subsample': 0.8, 'reg_lambda': 2, 'n_estimators': 20, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 0.6}",-0.06256344191233316,-0.15169227170944213,-0.08361065260569255,-0.09115280977884932,-0.0972547940015793,0.03312976643012859,32
0.008015275001525879,0.0005116511729744156,0.001591801643371582,3.8638708102303015e-05,0.6,1.5,40,1,4,0.1,0.4,0.8,"{'subsample': 0.6, 'reg_lambda': 1.5, 'n_estimators': 40, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.4, 'colsample_bytree': 0.8}",-0.05693560679753625,-0.14733769543965655,-0.0868851728439331,-0.09801848999659224,-0.09729424126942954,0.03256547221916553,33
0.10972487926483154,0.028526471244546898,0.003045320510864258,0.0010153864513857923,0.6,2.0,500,2,6,0.1,0.1,0.6,"{'subsample': 0.6, 'reg_lambda': 2, 'n_estimators': 500, 'min_child_weight': 2, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.6}",-0.05582968235015873,-0.14752763557434082,-0.08701920382181803,-0.09894289843241377,-0.09732985504468283,0.032981028415550125,34
0.020241379737854004,0.0037144141177928034,0.00260317325592041,0.0010263818411929688,0.9,1.0,100,4,6,0.3,0.6,0.8,"{'subsample': 0.9, 'reg_lambda': 1, 'n_estimators': 100, 'min_child_weight': 4, 'max_depth': 6, 'learning_rate': 0.3, 'gamma': 0.6, 'colsample_bytree': 0.8}",-0.05970756053924564,-0.15137992350260415,-0.08391149711608886,-0.09449877611796065,-0.09737443931897483,0.033633711995998024,35
0.03257560729980469,0.00793044304843875,0.003528118133544922,0.0010013244969565406,0.9,1.5,100,2,8,0.3,0.1,0.6,"{'subsample': 0.9, 'reg_lambda': 1.5, 'n_estimators': 100, 'min_child_weight': 2, 'max_depth': 8, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 0.6}",-0.05979521910349531,-0.15145146894454956,-0.08397968482971191,-0.09468545786539717,-0.09747795768578849,0.03362711008251019,36
0.03872328996658325,0.0012251813635900295,0.0016829967498779297,9.745401344442455e-05,0.6,1.0,300,4,6,0.03,0.0,0.6,"{'subsample': 0.6, 'reg_lambda': 1, 'n_estimators': 300, 'min_child_weight': 4, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6}",-0.05965041955312097,-0.14580792236328124,-0.07718364270528157,-0.10744039487838748,-0.09752059487501781,0.03270248549625471,37
0.037235140800476074,0.002624031526594428,0.0034633874893188477,0.0011647000219773677,1.0,2.0,80,2,3,0.01,0.0,0.8,"{'subsample': 1.0, 'reg_lambda': 2, 'n_estimators': 80, 'min_child_weight': 2, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.8}",-0.06904369862874349,-0.14129368511835733,-0.08174906047185261,-0.09807690254847212,-0.09754083669185638,0.02727666670437294,38
0.13213372230529785,0.006338566707507221,0.003867805004119873,0.0014972627767880179,0.9,1.0,500,4,4,0.01,0.0,0.6,"{'subsample': 0.9, 'reg_lambda': 1, 'n_estimators': 500, 'min_child_weight': 4, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.6}",-0.07187251091003422,-0.14719208129247027,-0.05583429209391275,-0.1155837006568909,-0.09762064623832703,0.03601758030093748,39
0.06475180387496948,0.009772974241088021,0.0054146647453308105,0.0019584210423741802,0.6,2.0,100,4,8,0.3,0.6,0.9,"{'subsample': 0.6, 'reg_lambda': 2, 'n_estimators': 100, 'min_child_weight': 4, 'max_depth': 8, 'learning_rate': 0.3, 'gamma': 0.6, 'colsample_bytree': 0.9}",-0.06742938629786173,-0.15399195798238116,-0.08049509795506794,-0.08877559773127242,-0.09767300999164581,0.033394405533643735,40
0.07186424732208252,0.0003249708423084095,0.0031905174255371094,0.0009293153284585311,0.6,2.0,300,1,4,0.3,0.4,1.0,"{'subsample': 0.6, 'reg_lambda': 2, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.3, 'gamma': 0.4, 'colsample_bytree': 1.0}",-0.06857826582590738,-0.15390060393015542,-0.08166297149658203,-0.08703602520624798,-0.0977944666147232,0.033081166202526574,41
0.014570355415344238,0.0036131041859016636,0.0020208358764648438,0.000802203730403292,0.9,2.0,60,4,4,0.3,0.0,0.9,"{'subsample': 0.9, 'reg_lambda': 2, 'n_estimators': 60, 'min_child_weight': 4, 'max_depth': 4, 'learning_rate': 0.3, 'gamma': 0, 'colsample_bytree': 0.9}",-0.07726911544799808,-0.14833297379811602,-0.041049638112386065,-0.12527291250228886,-0.09798115996519727,0.04168432523554362,42
0.008006155490875244,0.000936017880689727,0.0014714598655700684,6.573316861378003e-05,0.6,1.5,40,2,6,0.03,0.1,0.9,"{'subsample': 0.6, 'reg_lambda': 1.5, 'n_estimators': 40, 'min_child_weight': 2, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.9}",-0.05926493644714359,-0.15018093633651733,-0.08574769767125447,-0.0968557821909587,-0.09801233816146852,0.03307069247546873,43
0.015234947204589844,0.007146104339490276,0.003187894821166992,0.0009273003678443197,0.8,1.0,10,1,3,0.3,0.6,0.9,"{'subsample': 0.8, 'reg_lambda': 1, 'n_estimators': 10, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.3, 'gamma': 0.6, 'colsample_bytree': 0.9}",-0.06524225346247355,-0.1527956132888794,-0.08411500724156697,-0.09028115145365401,-0.09810850636164348,0.03289360023690907,44
0.22121769189834595,0.05018369171824455,0.006434202194213867,0.0010702370346480738,0.6,2.0,500,4,4,0.01,0.0,0.6,"{'subsample': 0.6, 'reg_lambda': 2, 'n_estimators': 500, 'min_child_weight': 4, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.6}",-0.06030189832051599,-0.14804709005355834,-0.08150817823410034,-0.10274154218037927,-0.09814967719713849,0.03248165208013148,45
0.11236506700515747,0.012812163462259022,0.003747701644897461,0.0017996443258429444,0.8,1.5,500,4,4,0.01,0.0,0.8,"{'subsample': 0.8, 'reg_lambda': 1.5, 'n_estimators': 500, 'min_child_weight': 4, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.8}",-0.07133024772008263,-0.14649937597910562,-0.06372205289204914,-0.11106078100204471,-0.09815311439832052,0.03319989849110144,46
0.01003044843673706,0.0004904064833151474,0.0016876459121704102,0.0002867448317015356,0.9,1.5,60,4,2,0.3,0.6,0.6,"{'subsample': 0.9, 'reg_lambda': 1.5, 'n_estimators': 60, 'min_child_weight': 4, 'max_depth': 2, 'learning_rate': 0.3, 'gamma': 0.6, 'colsample_bytree': 0.6}",-0.06098725668589274,-0.15213263082504272,-0.08354367685317993,-0.0960899221102397,-0.09818837161858877,0.033588601595927726,47
0.03224945068359375,0.0020518293013383026,0.0034766793251037598,7.161420556020794e-05,0.6,1.5,100,2,4,0.01,0.0,0.8,"{'subsample': 0.6, 'reg_lambda': 1.5, 'n_estimators': 100, 'min_child_weight': 2, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.8}",-0.07202365271250406,-0.14442122030258178,-0.07682299486796061,-0.09989023478825891,-0.09828952566782635,0.02864176821640589,48
0.022594690322875977,0.005855950442909343,0.0022159218788146973,0.0010539206976370472,0.8,1.0,80,4,3,0.3,0.0,1.0,"{'subsample': 0.8, 'reg_lambda': 1, 'n_estimators': 80, 'min_child_weight': 4, 'max_depth': 3, 'learning_rate': 0.3, 'gamma': 0, 'colsample_bytree': 1.0}",-0.07613875309626265,-0.14711773443222045,-0.044715383370717364,-0.12523834180831914,-0.09830255317687989,0.0402221252298949,49
0.013486027717590332,0.0009732494261728576,0.0034262537956237793,0.0015045219104224,0.8,1.5,40,1,6,0.1,0.4,0.9,"{'subsample': 0.8, 'reg_lambda': 1.5, 'n_estimators': 40, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.4, 'colsample_bytree': 0.9}",-0.06220658890406291,-0.15221250104904174,-0.08436512819925944,-0.09454741350809737,-0.09833290791511537,0.0332323273322153,50
