HJGM,CP180233.1,100,1457,0,0,1,1457,99824,101280,0,2691
HJGM,CP180233.1,100,1457,0,0,1,1457,595682,597138,0,2691
HJGM,CP180233.1,99.931,1457,1,0,1,1457,32966,34422,0,2686
HJGM,CP180233.1,99.931,1457,1,0,1,1457,93248,94704,0,2686
HJGM,CP180233.1,99.931,1457,1,0,1,1457,166902,168358,0,2686
HJGM,CP180233.1,99.931,1457,1,0,1,1457,2752333,2750877,0,2686
HJGM,CP180233.1,99.863,1457,2,0,1,1457,9632,11088,0,2680
HJGM,CP180233.1,99.794,1457,3,0,1,1457,864819,866275,0,2675
HJGM,PQ849187.1,100,1457,0,0,1,1457,18,1474,0,2691
HJGM,PZ070939.1,100,1457,0,0,1,1457,14,1470,0,2691
HJGM,PQ346053.1,100,1457,0,0,1,1457,4,1460,0,2691
HJGM,OR964096.1,100,1457,0,0,1,1457,12,1468,0,2691
HJGM,CP136643.1,100,1457,0,0,1,1457,32839,34295,0,2691
HJGM,CP136643.1,100,1457,0,0,1,1457,166935,168391,0,2691
HJGM,CP136643.1,100,1457,0,0,1,1457,598158,599614,0,2691
HJGM,CP136643.1,100,1457,0,0,1,1457,2799503,2798047,0,2691
HJGM,CP136643.1,99.931,1457,1,0,1,1457,9537,10993,0,2686
HJGM,CP136643.1,99.931,1457,1,0,1,1457,93264,94720,0,2686
HJGM,CP136643.1,99.931,1457,1,0,1,1457,99850,101306,0,2686
HJGM,CP136643.1,99.931,1457,1,0,1,1457,904094,905550,0,2686
HJGM,OR362817.1,100,1457,0,0,1,1457,13,1469,0,2691
HJGM,OR342733.1,100,1457,0,0,1,1457,32,1488,0,2691
HJGM,CP139114.1,100,1457,0,0,1,1457,2219043,2217587,0,2691
HJGM,CP139114.1,100,1457,0,0,1,1457,2647382,2645926,0,2691
HJGM,CP139114.1,100,1457,0,0,1,1457,2721047,2719591,0,2691
HJGM,CP139114.1,100,1457,0,0,1,1457,2782829,2781373,0,2691
HJGM,CP139114.1,100,1457,0,0,1,1457,2816251,2814795,0,2691
HJGM,CP139114.1,99.931,1457,1,0,1,1457,202,1658,0,2686
HJGM,CP139114.1,99.931,1457,1,0,1,1457,1939589,1938133,0,2686
HJGM,CP139114.1,99.931,1457,1,0,1,1457,2714458,2713002,0,2686
HJGM,CP126086.1,100,1457,0,0,1,1457,9548,11004,0,2691
HJGM,CP126086.1,100,1457,0,0,1,1457,32883,34339,0,2691
HJGM,CP126086.1,100,1457,0,0,1,1457,93161,94617,0,2691
HJGM,CP126086.1,100,1457,0,0,1,1457,99751,101207,0,2691
HJGM,CP126086.1,100,1457,0,0,1,1457,167321,168777,0,2691
HJGM,CP126086.1,100,1457,0,0,1,1457,610146,611602,0,2691
HJGM,CP126086.1,100,1457,0,0,1,1457,890742,892198,0,2691
HJGM,CP126086.1,100,1457,0,0,1,1457,2781260,2779804,0,2691
HJGM,OQ255851.1,100,1457,0,0,1,1457,20,1476,0,2691
HJGM,CP085389.1,100,1457,0,0,1,1457,887113,888569,0,2691
HJGM,CP085389.1,99.863,1459,0,2,1,1457,32879,34337,0,2682
HJGM,CP085389.1,99.863,1458,1,1,1,1457,170469,171926,0,2680
HJGM,CP085389.1,99.863,1457,1,1,1,1457,607218,608673,0,2678
HJGM,CP085389.1,99.658,1462,0,5,1,1457,9535,10996,0,2667
HJGM,CP085389.1,99.657,1459,2,3,1,1457,93158,94615,0,2663
HJGM,CP085389.1,99.657,1459,2,3,1,1457,99743,101200,0,2663
HJGM,CP085389.1,99.59,1462,1,5,1,1457,2774880,2773419,0,2662
HJGM,PQ596424.1,100,1457,0,0,1,1457,24,1480,0,2691
